question,answer,options,llm_labeled_successfully,llm_label
"A 60-year-old man comes to the emergency department because of recurrent episodes of fatigue, palpitations, nausea, and diaphoresis over the past 6 months. The episodes have become more frequent in the last 2 weeks and he has missed work several times because of them. His symptoms usually improve after he drinks some juice and rests. He has had a 2-kg (4.5-lb) weight gain in the past 6 months. He has a history of bipolar disorder, hypertension, and asthma. His sister has type 2 diabetes mellitus and his mother has a history of medullary thyroid carcinoma. His medications include lithium, hydrochlorothiazide, aspirin, and a budesonide inhaler. His temperature is 36.3°C (97.3°F), pulse is 92/min and regular, respirations are 20/min, and blood pressure is 118/65 mm Hg. Abdominal examination shows no abnormalities. Serum studies show:
Na+ 145 mEq/L
K+ 3.9 mEq/L
Cl- 103 mEq/L
Calcium 9.2 mg/dL
Glucose 88 mg/dL
Which of the following is the most appropriate next step in diagnosis?""",72-hour fasting test,"['Oral glucose tolerance test', '24-hour urine catecholamine test', '72-hour fasting test', 'Water deprivation test', 'Corticotropin stimulation test']",yes,Oral glucose tolerance test
"A 51-year-old woman presents the following significant and unintentional weight loss. She denies any personal history of blood clots in her past, but she says that her mother has also had to be treated for pulmonary embolism in the recent past. She also mentions that she had been struggling with her weight, so she was initially content with losing the weight, but her daughter convinced her to come to the office to be checked out. Her past medical history is significant for preeclampsia, hypertension, polycystic ovarian syndrome, and hypercholesterolemia. She currently smokes 1 pack of cigarettes per day, drinks a glass of wine per day, and she currently denies any illicit drug use, although she has a remote past of injection drug use with heroin. The vital signs include: temperature 36.7°C (98.0°F), blood pressure 126/74 mm Hg, heart rate 111/min and irregular, and respiratory rate 17/min. On physical examination, her pulses are bounding and complexion is pale, but breath sounds remain clear. Oxygen saturation was initially 91% on room air and electrocardiogram (ECG) showed atrial fibrillation. Upon further discussion with the patient, her physician discovers that she is having some cognitive difficulty. Her leukocyte count is elevated to 128,000/mm3, and she has elevated lactate dehydrogenase (LDH), uric acid, and B-12 levels. A BCR-ABL translocation is present, as evidenced by the Philadelphia chromosome. What is the most likely diagnosis for this patient?",Chronic myelogenous leukemia,"['Acute lymphocytic leukemia', 'Acute myelogenous leukemia', 'Chronic lymphocytic leukemia', 'Chronic myelogenous leukemia', 'Hairy cell leukemia']",yes,Chronic myelogenous leukemia
"A 14-year-old girl is presented by her mother who says she has trouble focusing. The patient’s mother says that, over the past 2 months, the patient has lost interest in her normal activities and has become more withdrawn. She no longer participates in activities she enjoys and says that she has contemplated suicide. The patient’s mother says that, at other times, she is hyperactive and can’t ever seem to be still. Before the onset of her depression, she had an 8 day period where she did not sleep and was constantly on the go. She was so energetic at school that she was suspended for a month. The patient is afebrile and vitals are within normal limits. Physical examination is unremarkable. Routine laboratory tests and a noncontrast computed tomography (CT) of the head are normal. Which of the following would be the best course of treatment in this patient?",Lithium,"['Chlorpromazine', 'Lithium', 'Ramelteon', 'Phenobarbital', 'Amitriptyline']",yes,Amitriptyline
A 27-year-old woman comes to the physician because she has been hearing voices in her apartment during the past year. She also reports that she has been receiving warning messages in newspaper articles during this period. She thinks that “someone is trying to kill her”. She avoids meeting her family and friends because they do not believe her. She does not use illicit drugs. Physical examination shows no abnormalities. Mental status examination shows a normal affect. Which of the following is the most appropriate long-term treatment?,Quetiapine,"['Quetiapine', 'Fluphenazine', 'Lithium carbonate', 'Midazolam', 'Clozapine']",yes,Clozapine
"A 21-year-old man presents for a pre-employment medical check-up. He has a history of persistent asthma and regularly uses inhaled fluticasone for prophylaxis. For the last week, he has been experiencing increasing symptoms, such as night time cough and wheezing on exertion. Because his albuterol metered-dose inhaler ran out, he has been taking oral albuterol 3 times a day for the last 3 days, which has improved his symptoms. The physician performs a complete physical examination and orders laboratory tests. Which of the following findings is most likely to be present on his physical examination or laboratory studies?",Pulse rate is 116/min,"['Pulse rate is 116/min', 'Upbeat nystagmus', 'Myoclonus', 'Serum potassium is 5.5 mEq/L (5.5 mmol/L)', 'Serum magnesium is 2.4 mEq/L (1.2 mmol/L)']",yes,Serum potassium is 5.5 mEq/L (5.5 mmol/L)
"A 47-year-old man presents to you with gradual loss of voice and difficulty swallowing for the past couple of months. The difficulty of swallowing is for both solid and liquid foods. His past medical history is insignificant except for occasional mild headaches. Physical exam also reveals loss of taste sensation on the posterior third of his tongue and palate, weakness in shrugging his shoulders, an absent gag reflex, and deviation of the uvula away from the midline. MRI scanning was suggested which revealed a meningioma that was compressing some cranial nerves leaving the skull. Which of the following openings in the skull transmit the affected cranial nerves?",Jugular foramen,"['Foramen spinosum', 'Foramen lacerum', 'Jugular foramen', 'Foramen ovale', 'Foramen rotundum']",yes,Foramen ovale
"A 69-year-old man comes to the physician because of a 3-month history of urinary urgency, nocturia, and progressive pain in his lower back. The pain is worse at night and does not respond to ibuprofen. Rectal examination shows an enlarged, asymmetric prostate with a nodular surface. Prostate-specific antigen concentration is 11 ng/ml (N < 4). A biopsy of the prostate shows a high-grade adenocarcinoma. A CT scan of the pelvis shows multiple osteoblastic lesions of the lumbar spine. The patient is started on a drug that competes with androgens for interaction with the testosterone receptors. Treatment with which of the following drugs was most likely initiated in this patient?",Flutamide,"['Leuprolide', 'Flutamide', 'Degarelix', 'Docetaxel', 'Finasteride']",yes,Leuprolide
"A 35-year-old woman presents to clinic in emotional distress. She states she has been unhappy for the past couple of months and is having problems with her sleep and appetite. Additionally, she reports significant anxiety regarding thoughts of dirtiness around the house. She states that she cleans all of the doorknobs 5-10 times per day and that, despite her actions, the stress related to cleaning is becoming worse. What is this patient's diagnosis?",Obsessive compulsive disorder (OCD),"['Obsessive compulsive disorder (OCD)', 'Tic disorder', 'Panic Disorder (PD)', 'Generalized anxiety disorder (GAD)', 'Obsessive compulsive personality disorder (OCPD)']",yes,Obsessive compulsive disorder (OCD)
"A 41-year-old woman presents with acute onset severe epigastric pain radiating to the back that began a few hours ago. She also complains of nausea and has vomited twice in the past hour. She denies any history of similar symptoms or trauma in the past. Past medical history is significant for diabetes type 2 and HIV infection diagnosed 6 months ago long-standing mild intermittent asthma, and generalized anxiety disorder. She takes metformin for her diabetes but does not remember the names of her HIV medications. She reports moderate social alcohol use. Her vital signs include temperature 37.6°C (99.6 °F), pulse 95/min, blood pressure 110/74 mm Hg, respiratory rate 12/min Her body mass index (BMI) is 21 kg/m2. Laboratory findings are significant for the following:
Serum amylase: 415 U/L
Serum lipase: 520 U/L
A contrast CT of the abdomen reveals an edematous pancreas with peripancreatic fluid collection with a normal gallbladder. Which of the following is the most likely etiology of this patient’s condition?",HIV medication-related,"['HIV medication-related', 'Alcohol use', 'Abdominal trauma', 'Metformin', 'Congenital anomaly of the pancreas']",yes,Alcohol use
"A 25-year-old woman comes to the physician because of recurrent episodes of reddish discoloration of her urine. She also has a 3-month history of intermittent abdominal pain, yellowish discoloration of the skin and eyes, and fatigue. Physical examination shows pallor and scleral icterus. The spleen is not palpable. Her hemoglobin concentration is 7.8 g/dL, leukocyte count is 2,000/mm3, and platelet count is 80,000/mm3. Serum LDH and unconjugated bilirubin concentrations are elevated. Addition of a serum containing anti-human globulins to a blood sample shows no agglutination. A urine dipstick shows blood; urinalysis shows no RBCs. A CT scan of the abdomen shows a thrombus in a distal branch of the superior mesenteric vein. Which of the following is the most likely cause of this patient's condition?",Absence of protective factors against destruction by complement,"['Activation and consumption of platelets and coagulation factors', 'Endothelial cell dysfunction from bacterial toxin production', 'Absence of protective factors against destruction by complement', 'Formation of IgG antibodies against glycoprotein IIb/IIIa', 'Replacement of a single amino acid in a β-globin chain\n""']",yes,Endothelial cell dysfunction from bacterial toxin production
"A 68-year-old man is brought to the emergency department by ambulance after he fainted in the supermarket. He recently had 2 days of gastroenteritis, but did not come to the hospital for treatment. He also recently arrived in Denver for a vacation, but normally lives in Florida. His past medical history is significant for morbid obesity and heavy alcohol use. Arterial blood gas and serum chemistry results are shown below:

Sodium: 138 mEq/L
Chloride: 121 mEq/L
Bicarbonate: 8 mEq/L
pH: 7.25
PaCO2: 20 mmHg

Which of the following etiologies is most likely responsible for this patient's findings?",Diarrhea,"['Altitude sickness', 'Diarrhea', 'Ethanol consumption', 'Hypoventilation', 'Vomiting']",yes,Hypoventilation
"A 42-year-old woman is brought to the emergency department because of two episodes of hemoptysis over the past 24 hours. The patient has a 6-month history of severe sinusitis and bloody nasal discharge. Her vital parameters are as follows: blood pressure, 155/75 mm Hg; pulse, 75/min; respiratory rate, 14/min; and temperature, 37.9°C (100.2°F). Examination reveals red conjunctiva, and an ulcer on the nasal septum. Pulmonary auscultation indicates diffuse rhonchi. Cardiac and abdominal examinations reveal no abnormalities. Laboratory studies show:
Urine
Blood 3+
Protein 2+
RBC 10-15/hpf with dysmorphic features
RBC cast numerous
Based on these findings, this patient is most likely to carry which of the following antibodies?",Antiproteinase 3 antineutrophil cytoplasmic antibody,"['Anticyclic citrullinated peptide antibody', 'Antideoxyribonuclease antibody', 'Antiglomerular basement membrane antibody', 'Antimyeloperoxidase antibody', 'Antiproteinase 3 antineutrophil cytoplasmic antibody']",yes,Antiproteinase 3 antineutrophil cytoplasmic antibody
"A 62-year-old man is brought to the physician by his wife for increased forgetfulness and unsteady gait over the past 3 months. He is a journalist and has had difficulty concentrating on his writing. He also complains of urinary urgency recently. His temperature is 36.8°C (98.2°F) and blood pressure is 139/83 mm Hg. He is oriented only to person and place. He is able to recall 2 out of 3 words immediately and 1 out of 3 after five minutes. He has a slow, broad-based gait and takes short steps. Neurological examination is otherwise normal. Urinalysis is normal. Which of the following is the most likely diagnosis?",Normal pressure hydrocephalus,"['Alzheimer disease', 'Normal pressure hydrocephalus', 'Vascular dementia', 'Frontotemporal dementia', 'Lewy body dementia']",yes,Alzheimer disease
"A 26-year-old woman presents to the emergency department with confusion, severe myalgia, fever, and a rash over her inner left thigh. The patient was diagnosed with pharyngitis three days ago and prescribed antibiotics, but she did not take them. Her blood pressure is 90/60 mm Hg, heart rate is 99/min, respiratory rate is 17/min, and temperature is 38.9°C (102.0°F). On physical examination, the patient is disoriented. The posterior wall of her pharynx is erythematous and swollen and protrudes into the pharyngeal lumen. There is a diffuse maculopapular rash over her thighs and abdomen. Which of these surface structures interacts with the causative agent of her condition?",Variable part of TCR β-chain,"['Variable part of TCR β-chain', 'CD3', 'CD1', 'Constant part of TCR α-chain', 'CD4']",yes,CD3
"A 28-year-old man is brought to the emergency department after he was found half dressed and incoherent in the middle of the road. In the emergency department he states that he has not slept for 36 hours and that he has incredible ideas that will make him a billionaire within a few months. He also states that secret agents from Russia are pursuing him and that he heard one of them speaking through the hospital intercom. His past medical history is significant only for a broken arm at age 13. On presentation, his temperature is 102.2°F (39°C), blood pressure is 139/88 mmHg, pulse is 112/min, and respirations are 17/min. Physical exam reveals pupillary dilation and psychomotor agitation. Which of the following mechanisms is most likely responsible for this patient's symptoms?",Increased biogenic amine release,"['5-HT receptor agonist', 'Gamma-aminobutyric acid receptor agonist', 'Increased biogenic amine release', 'N-methyl-D-aspartate receptor antagonist', 'Opioid receptor agonist']",yes,Increased biogenic amine release
"A 67-year-old woman comes to the physician because of fever, chills, myalgias, and joint pain 1 month after undergoing aortic prosthetic valve replacement due to high-grade aortic stenosis. She does not drink alcohol or use illicit drugs. Her temperature is 39.3°C (102.8°F). She appears weak and lethargic. Physical examination shows crackles at both lung bases and a grade 2/6, blowing diastolic murmur over the right sternal border. Laboratory studies show leukocytosis and an elevated erythrocyte sedimentation rate. The causal organism is most likely to have which of the following characteristics?","Novobiocin-sensitive, coagulase-negative cocci","['Alpha hemolytic, optochin-sensitive diplococci', 'Novobiocin-sensitive, coagulase-negative cocci', 'Catalase-negative cocci that grows in 6.5% saline', 'Beta hemolytic, bacitracin-sensitive cocci', 'Alpha hemolytic, optochin-resistant cocci']",yes,"Beta hemolytic, bacitracin-sensitive cocci"
"A 47-year-old woman presents to her primary care physician for a wellness checkup. The patient states that she currently feels well and has no complaints. She has failed multiple times at attempting to quit smoking and has a 40 pack-year smoking history. She drinks 4 alcoholic beverages every night. The patient is currently taking a multivitamin and vitamin D supplements. She has also attempted to eat more salmon given that she has heard of its health benefits. Physical exam is notable for back stiffness on mobility testing. The patient states that she frequently has back pain when sitting. Laboratory values are obtained as seen below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 25 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 1.1 mg/dL
Ca2+: 12.2 mg/dL
PTH: 75 pg/mL (normal 10 - 65 pg/mL)

Urine:
Color: Yellow
pH: 7.0
Blood: 1+
Protein: Negative
Nitrite: Positive
Bacteria: Positive
Ca2+: Low
Benzodiazepines: Positive

Which of the following is the best explanation for this patient’s electrolyte abnormalities?",Familial hypocalciuric hypercalcemia,"['Familial hypocalciuric hypercalcemia', 'Hyperparathyroidism', 'Hypervitaminosis D', 'Multiple myeloma', 'Renal cell carcinoma']",yes,Hyperparathyroidism
"A 51-year-old man presents complaining of decreased vibratory sense in his lower limbs. Physical exam reveals a widened pulse pressure and a decrescendo murmur occurring after the S2 heart sound. After further questioning, he also reports he experienced a maculopapular rash over his trunk, palms and soles many years ago that resolved on its own. In order to evaluate the suspected diagnosis, the physician FIRST tested for which of the following?",Agglutination of antibodies with beef cardiolipin,"['Agglutination of antibodies with beef cardiolipin', 'Indirect immunofluoresence of the patient’s serum and killed T. palladium', 'Cytoplasmic inclusions on Giemsa stain', 'Agglutination of patients serum with Proteus O antigens', 'Gram negative, oxidase positive, comma shaped bacteria growing at 42 degrees C']",yes,Agglutination of antibodies with beef cardiolipin
"A 55-year-old woman presents to the office complaining of leg ulcers for the past 6 months. She has a chronic history of severe rheumatoid arthritis controlled with methotrexate. She does not drink alcohol or smoke cigarettes. Her vitals are normal. Her lungs are clear to auscultation. The abdomen is soft and non-tender with a palpable spleen tip on inspiration. Skin examination shows scattered ulcers on the legs in various stages of healing. Additionally, metacarpophalangeal and proximal interphalangeal joints are tender. Varicose veins are not observed. Laboratory results are as follows:
Hemoglobin  10.5 g/dL
MCV 74 fl
Platelets 226,000/mm3
White blood cells 2500 /mm3
Neutrophils 20%
Alanine 36/UL
Aminotransaminase aspartate 39/UL
Aminotransaminase creatinine 1.0 mg/dL
HIV test is negative. Which of the following is the most likely cause of this patient’s condition?",Felty syndrome,"['Venous stasis and valve insufficiency', 'Felty syndrome', 'Drug toxicity', 'Vitamin deficiency', 'Caplan syndrome']",yes,Venous stasis and valve insufficiency
"A 47-year-old woman comes to the physician because of a 6-week history of fatigue and low-grade fever. She has no history of serious illness except for a bicuspid aortic valve, diagnosed 10 years ago. She does not use illicit drugs. Her temperature is 37.7°C (99.9°F). Physical examination shows petechiae under the fingernails and multiple tender, red nodules on the fingers. A new grade 2/6 diastolic murmur is heard at the right second intercostal space. Which of the following is the most likely causal organism?",Streptococcus sanguinis,"['Enterococcus faecalis', 'Staphylococcus epidermidis', 'Streptococcus pyogenes', 'Streptococcus sanguinis', 'Streptococcus pneumoniae']",yes,Streptococcus pneumoniae
"A 19-year-old man presents to the office for a routine physical exam and a meningitis vaccination prior to attending college on a basketball scholarship. Also present at the appointment is his father who appears to be in his mid-sixties and is much shorter. The patient’s pulse is 70/min, respirations are 18/min, temperature is 37.0°C (98.6°F), and blood pressure is 120/80 mm Hg. He is 183 cm (6 ft 0 in) tall and weighs 79.4 kg (175 lb). His heart rate is regular with a mild diastolic murmur (II/VI) over the aortic valve and his lungs are clear to auscultation bilaterally. A scoliosis test shows mild deviation of his thoracic spine. A skin examination shows numerous red-to-white linear markings on the skin around his lower back. His fingers are long. Which of the following genes does this patient most likely have a mutation of?",FBN1,"['COL3A1', 'COL5A1', 'ELN', 'FBN1', 'IT15']",yes,ELN
"A 39-year-old G3P0 woman presents for preconception counseling and evaluation. The patient’s past medical history reveals hypertension and type 1 diabetes. She is currently on an insulin pump and medications for hypertension including labetalol. Her blood pressure is 130/85 mm Hg; pulse, 76/min; and BMI, 26 kg/m2. Her most recent HbA1c is 6.5%. Her previous pregnancies ended in spontaneous abortion during the 1st trimester despite adequate prenatal care. The patient intends to have a healthy pregnancy and desires to learn more about the risk factors that potentially trigger miscarriage. Which of the following maternal risk factors is most likely associated with early pregnancy loss?",Age,"['Chronic hypertension', 'Diabetes', 'Infection', 'Age', 'Hypercoagulable state']",yes,Age
"A 52-year-old man presents for a routine checkup. Past medical history is remarkable for stage 1 systemic hypertension and hepatitis A infection diagnosed 10 years ago. He takes aspirin, rosuvastatin, enalapril daily, and a magnesium supplement every once in a while. He is planning to visit Ecuador for a week-long vacation and is concerned about malaria prophylaxis before his travel. The physician advised taking 1 primaquine pill every day while he is there and for 7 consecutive days after leaving Ecuador. On the third day of his trip, the patient develops an acute onset headache, dizziness, shortness of breath, and fingertips and toes turning blue. His blood pressure is 135/80 mm Hg, heart rate is 94/min, respiratory rate is 22/min, temperature is 36.9℃ (98.4℉), and blood oxygen saturation is 97% in room air. While drawing blood for his laboratory workup, the nurse notes that his blood has a chocolate brown color. Which of the following statements best describes the etiology of this patient’s most likely condition?",It is a type B adverse drug reaction.,"['The patient’s condition is due to consumption of water polluted with nitrates.', 'This condition resulted from primaquine overdose.', 'The patient had pre-existing liver damage caused by viral hepatitis.', 'The condition developed because of his concomitant use of primaquine and magnesium supplement.', 'It is a type B adverse drug reaction.']",yes,It is a type B adverse drug reaction.
"A 71-year-old man comes to the physician for a health maintenance examination. Aside from occasional lower back pain in the last couple of years, he feels well. He had a right-sided myocardial infarction 4 years ago. Currently, he has no shortness of breath and has no anginal symptoms. He has a 30 pack-year history of smoking but stopped smoking 10 years ago and does not drink alcohol. His pulse is 59/min, and his blood pressure is 135/75 mm Hg. Physical examination reveals 1+ lower extremity edema. Cardiac and pulmonary auscultation show no abnormalities. There is no lymphadenopathy. His laboratory studies show a hemoglobin of 13.2 g/dL and serum protein of 10.1 g/dL. ECG shows known Q wave abnormalities unchanged since the last ECG one year ago. A serum protein electrophoresis with immunofixation is shown. Which of the following is the most appropriate next step to establish the diagnosis?",Whole-body CT scan,"['Bone densitometry', 'Rectal biopsy', 'Echocardiography', 'Whole-body CT scan', 'Urine dipstick\n""']",yes,Echocardiography
"A 73-year-old man presents to the emergency department with acute substernal chest pain that began a few hours ago. The pain is described as a “pressure” that radiates to his left arm. His past medical history is significant for hypertension and hyperlipidemia. He is on chlorthalidone for his hypertension and simvastatin for hyperlipidemia. He has a 30 pack-year history of smoking and drinks 1-2 beers on weekends. His EKG shows ST depressions in the anterior precordial leads and he is given the proper medications and sent for emergency revascularization. Seven days later, he develops dyspnea that worsens in the supine position. Bibasilar crackles are heard on pulmonary auscultation. Cardiac exam reveals a new 3/6 holosystolic murmur best heard at the left sternal border. What is the most likely etiology of this patient’s new symptoms?",Papillary muscle rupture,"['Aortic stenosis', 'Ventricular wall aneurysm', 'Restrictive pericarditis', 'Papillary muscle rupture', 'Arrhythmia']",yes,Aortic stenosis
"A 32-year-old pregnant woman presents to the clinic with complaints of cramping, abdominal pain, and severe watery diarrhea for the past 3 days. She also is nauseous and complains of fever and malaise. She was started on a 7-day course of amoxicillin after being admitted to the hospital for pyelonephritis 5 days ago. The vital signs include heart rate 98/min, respiratory rate 16/min, temperature 38.9°C (102.0°F), and blood pressure 92/56 mm Hg. Physical examination reveals abdominal distention with diffuse tenderness. Laboratory studies show a peripheral white blood cell (WBC) count of 15,000/mm3 and stool guaiac positive for occult blood. Which of the following is the best pharmacotherapy for her condition?",Oral vancomycin,"['Metronidazole', 'Rifaximin', 'IV metronidazole plus oral vancomycin', 'Oral vancomycin', 'Oral nitazoxanide']",yes,IV metronidazole plus oral vancomycin
"A 53-year-old man comes to the physician because of fatigue, recurrent diarrhea, and an 8-kg (17.6-lb) weight loss over the past 6 months. He has a 4-month history of recurrent blistering rashes on different parts of his body that grow and develop into pruritic, crusty lesions before resolving spontaneously. Physical examination shows scaly lesions in different phases of healing with central, bronze-colored induration around the mouth, perineum, and lower extremities. Laboratory studies show:
Hemoglobin 10.1 mg/dL
Mean corpuscular volume 85 μm3
Mean corpuscular hemoglobin 30.0 pg/cell
Serum
Glucose 236 mg/dL
Abdominal ultrasonography shows a 3-cm, solid mass located in the upper abdomen. This patient's mass is most likely derived from which of the following types of cells?""",Pancreatic α-cells,"['Gastrointestinal enterochromaffin cells', 'Pancreatic α-cells', 'Pancreatic β-cells', 'Pancreatic δ-cells', 'Gastric G-cells']",yes,Gastric G-cells
"A 27-year-old man presents to his primary care physician for his first appointment. He recently was released from prison. The patient wants a checkup before he goes out and finds a job. He states that lately he has felt very fatigued and has had a cough. He has lost roughly 15 pounds over the past 3 weeks. He attributes this to intravenous drug use in prison. His temperature is 99.5°F (37.5°C), blood pressure is 127/68 mmHg, pulse is 100/min, respirations are 18/min, and oxygen saturation is 98% on room air. The patient is started on appropriate treatment. Which of the following is the most likely indication to discontinue this patient's treatment?",Elevated liver enzymes,"['Elevated liver enzymes', 'Hyperuricemia', 'Optic neuritis', 'Peripheral neuropathy', 'Red body excretions']",yes,Optic neuritis
"A 55-year-old woman comes to the clinic complaining of joint pain and stiffness for the past year. The pain is mainly concentrated in her hands and is usually worse towards the late afternoon. It is described with a burning quality that surrounds the joint with some numbness and tingling. The stiffness is especially worse in the morning and lasts approximately for 15-20 minutes. Her past medical history is significant for recurrent gastric ulcers. She reports that her mother struggled with lupus and is concerned that she might have the same thing. She denies fever, rashes, ulcers, genitourinary symptoms, weight loss, or bowel changes. Physical examination is significant for mild tenderness at the distal interphalangeal joints bilaterally. What is the best initial medication to prescribe to this patient?",Acetaminophen,"['Acetaminophen', 'Aspirin', 'Hydroxychloroquine', 'Infliximab', 'Methotrexate']",yes,Hydroxychloroquine
"A 28-year-old woman presents to her primary care physician complaining of intense thirst and frequent urination for the past 2 weeks. She says that she constantly feels the urge to drink water and is also going to the bathroom to urinate frequently throughout the day and multiple times at night. She was most recently hospitalized 1 month prior to presentation following a motor vehicle accident in which she suffered severe impact to her head. The physician obtains laboratory tests, with the results shown below:

Serum:
Na+: 149 mEq/L
Cl-: 103 mEq/L
K+: 3.5 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 105 mg/dL
Urine Osm: 250 mOsm/kg

The patient’s condition is most likely caused by inadequate hormone secretion from which of the following locations?",Posterior pituitary,"['Adrenal cortex', 'Anterior pituitary', 'Posterior pituitary', 'Preoptic nucleus of the hypothalamus', 'Suprachiasmatic nucleus of the hypothalamus']",yes,Posterior pituitary
"You are a sleep physician comparing the results of several hypnograms taken in the sleep lab the prior night. You examine one chart which shows decreased REM sleep, less total time sleeping, and more frequent nocturnal awakenings. Which of these patients most likely exhibits this pattern?",A healthy 75-year-old male,"['A healthy 3-year-old male', 'A healthy 9-month-old female', 'A healthy 40 year-old male', 'A healthy 20-year-old female', 'A healthy 75-year-old male']",yes,A healthy 75-year-old male
"A 20-year-old man comes to the physician because of a 2-day history of a pruritic rash on both arms. He returned from a 2-week hiking trip in North Carolina 1 day ago. He has ulcerative colitis. He works as a landscape architect. His only medication is a mesalazine suppository twice daily. He has smoked a pack of cigarettes daily for 4 years and drinks one alcoholic beverage daily. He does not use illicit drugs. His temperature is 36.8°C (98.2°F), pulse is 65/min, respirations are 16/min, and blood pressure is 127/74 mm Hg. A photograph of the rash is shown. The remainder of the examination shows no abnormalities. Which of the following is the most appropriate next step in management?",Apply topical calamine preparation,"['Administer oral ivermectin', 'Counsel patient on alcohol intake', 'Apply topical calamine preparation', 'Administer oral prednisone', 'Administer oral cetirizine']",yes,Administer oral ivermectin
"A newborn is brought to the emergency department by his parents with violent vomiting. It started about 3 days ago and has slowly gotten worse. He vomits after most feedings but seems to keep some formula down. His mother notes that he is eager to feed between episodes and seems to be putting on weight. Other than an uncomplicated course of chlamydia conjunctivitis, the infant has been healthy. He was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. The physical exam is significant for a palpable mass in the right upper quadrant. What is the first-line confirmatory diagnostic test and associated finding?",Abdominal ultrasound; elongated pyloric channel and muscle hypertrophy,"['Abdominal X-ray; ‘double bubble’ sign', 'Barium upper GI series; GE junction and portion of the stomach in thorax', 'Barium upper GI series; bird beak sign and corkscrewing', 'Air enema; filling defect and coil spring sign', 'Abdominal ultrasound; elongated pyloric channel and muscle hypertrophy']",yes,Abdominal ultrasound; elongated pyloric channel and muscle hypertrophy
"A 59-year-old woman comes to the physician because of a 1-year history of pain and stiffness in her fingers and knees. The stiffness lasts for about 10 minutes after she wakes up in the morning. She also reports that her knee pain is worse in the evening. She drinks one glass of wine daily. Her only medication is acetaminophen. She is 175 cm (5 ft 9 in) tall and weighs 102 kg (225 lb); BMI is 33 kg/m2. Physical examination shows firm nodules on the distal interphalangeal joints of the index, ring, and little fingers of both hands. Which of the following is the most likely diagnosis?",Osteoarthritis,"['Pseudogout', 'Rheumatoid arthritis', 'Gout', 'Septic arthritis', 'Osteoarthritis']",yes,Gout
"A 5-week-old male infant is rushed to the emergency department due to severe vomiting and lethargy for the past 3 days. His mother describes the vomiting as forceful and projectile and contains undigested breast milk, but she did not notice any green fluids. He has not gained much weight in the past 3 weeks and looks very thin. He has a pulse of 144/min, temperature of 37.5°C (99.5°F), and respiratory rate of 18/min. Mucous membranes are dry and the boy is lethargic. Abdominal examination reveals a palpable mass in the epigastrium that becomes more prominent after vomiting with visible peristaltic movements over the epigastrium. Barium-contrast studies show a double channel appearance of the pylorus. What is the best immediate step in the management of this patient’s condition?",Correct electrolyte imbalances,"['Reassurance and observation', 'Pyloromyotomy', 'Whipple procedure', 'Correct electrolyte imbalances', 'Nasogastric tube feeding']",yes,Pyloromyotomy
A 32-year-old woman comes to the physician for a routine examination. She has no history of serious medical illness. She appears well. Physical examination shows several hundred pigmented lesions on the back and upper extremities. A photograph of the lesions is shown. The remainder of the examination shows no abnormalities. This patient is at increased risk of developing a tumor with which of the following findings?,S100-positive epithelioid cells with fine granules,"['Atypical keratinocytes forming keratin pearls', 'S100-positive epithelioid cells with fine granules', 'Spindle endothelial cells forming slit-like spaces', 'Mucin-filled cells with peripheral nuclei', 'Pale, round cells with palisading nuclei']",yes,"Pale, round cells with palisading nuclei"
"A 55-year-old man comes to the physician for a routine health visit. He feels well except for occasional left-sided abdominal discomfort and left shoulder pain. He has smoked 1 pack of cigarettes daily for 20 years. He does not drink alcohol. His pulse is 85/min and his blood pressure is 130/70 mmHg. Examination shows a soft, nontender abdomen. The spleen is palpated 5 cm below the costal margin. There is no lymphadenopathy present. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 12.2 g/dL
Hematocrit 36 %
Leukocyte count 34,000/mm3
Platelet count 450,000/mm3
Cytogenetic testing of his blood cells is pending. Further evaluation of this patient is most likely to show which of the following findings?""",Low leukocyte alkaline phosphatase score,"['Low leukocyte alkaline phosphatase score', 'Elevated serum calcium', 'Decreased basophil count', 'Autoimmune hemolytic anemia', 'Elevated serum β2 microglobulin']",yes,Low leukocyte alkaline phosphatase score
"A 45-year-old man is brought to the physician by his wife for the evaluation of abnormal sleep patterns that began 10 days ago. She reports that he has only been sleeping 2–3 hours nightly during this time and has been jogging for long periods of the night on the treadmill. The patient has also been excessively talkative and has missed work on several occasions to write emails to his friends and relatives to convince them to invest in a new business idea that he has had. He has chronic kidney disease requiring hemodialysis, but he has refused to take his medications because he believes that he is cured. Eight months ago, he had a 3-week long period of persistent sadness and was diagnosed with major depressive disorder. Mental status examination shows psychomotor agitation and pressured speech. Treatment of this patient's condition should include which of the following drugs?",Valproate,"['Buproprion', 'Triazolam', 'Valproate', 'Mirtazapine', 'Fluoxetine']",yes,Fluoxetine
