question,context,answer,options,llm_labeled_successfully,llm_label
Can calprotectin predict relapse risk in inflammatory bowel disease?,"Assessing the clinical course of inflammatory bowel disease (IBD) patients consists of periodical clinical evaluations and laboratory tests. We aimed to assess the role of calprotectin tests in predicting clinical relapse in IBD patients.
Ninety-seven patients with ulcerative colitis (UC) and 65 with Crohn's disease (CD) in clinical remission were prospectively included in the study. A 10-g stool sample was collected for calprotectin assay. The cutoff level was set at 130 mg/kg of feces. Patients were followed up for 1 yr after the test or until relapse. The cumulative proportion of relapses was estimated by the Kaplan-Meier analysis. Statistics for equality of survival distribution were tested using the log-rank test.
The calprotectin test was positive in 44 UC patients and 26 of them relapsed within a year, while 11 of 53 UC patients with a negative calprotectin test relapsed within the same time frame. Thirty CD patients had a positive calprotectin test and 13 of them relapsed within a year, as did 7 of the 35 with a negative test result. A significant correlation emerged between a positive calprotectin test and the probability of relapse in UC patients (P= 0.000). In CD patients, only cases of colonic CD showed a significant correlation between a positive calprotectin test and the probability of relapse, i.e., 6 colonic CD patients were positive for the calprotectin test and 4 relapsed (P= 0.02).",maybe,['yes' 'no' 'maybe'],yes,yes
Do risk calculators accurately predict surgical site occurrences?,"Current risk assessment models for surgical site occurrence (SSO) and surgical site infection (SSI) after open ventral hernia repair (VHR) have limited external validation. Our aim was to determine (1) whether existing models stratify patients into groups by risk and (2) which model best predicts the rate of SSO and SSI.
Patients who underwent open VHR and were followed for at least 1 mo were included. Using two data sets-a retrospective multicenter database (Ventral Hernia Outcomes Collaborative) and a single-center prospective database (Prospective)-each patient was assigned a predicted risk with each of the following models: Ventral Hernia Risk Score (VHRS), Ventral Hernia Working Group (VHWG), Centers for Disease Control and Prevention Wound Class, and Hernia Wound Risk Assessment Tool (HW-RAT). Patients in the Prospective database were also assigned a predicted risk from the American College of Surgeons National Surgical Quality Improvement Program (ACS-NSQIP). Areas under the receiver operating characteristic curve (area under the curve [AUC]) were compared to assess the predictive accuracy of the models for SSO and SSI. Pearson's chi-square was used to determine which models were able to risk-stratify patients into groups with significantly differing rates of actual SSO and SSI.
The Ventral Hernia Outcomes Collaborative database (n = 795) had an overall SSO and SSI rate of 23% and 17%, respectively. The AUCs were low for SSO (0.56, 0.54, 0.52, and 0.60) and SSI (0.55, 0.53, 0.50, and 0.58). The VHRS (P = 0.01) and HW-RAT (P < 0.01) significantly stratified patients into tiers for SSO, whereas the VHWG (P < 0.05) and HW-RAT (P < 0.05) stratified for SSI. In the Prospective database (n = 88), 14% and 8% developed an SSO and SSI, respectively. The AUCs were low for SSO (0.63, 0.54, 0.50, 0.57, and 0.69) and modest for SSI (0.81, 0.64, 0.55, 0.62, and 0.73). The ACS-NSQIP (P < 0.01) stratified for SSO, whereas the VHRS (P < 0.01) and ACS-NSQIP (P < 0.05) stratified for SSI. In both databases, VHRS, VHWG, and Centers for Disease Control and Prevention overestimated risk of SSO and SSI, whereas HW-RAT and ACS-NSQIP underestimated risk for all groups.",no,['yes' 'no' 'maybe'],yes,no
The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,"The rate of aortic aneurysm rupture correlates with the aneurysm's diameter, and a higher rate of rupture is observed in patients with larger aneurysms. According to the literature, contradictory results concerning the relationship between atmospheric pressure and aneurysm size have been reported.AIM: In this paper, we assessed the influence of changes in atmospheric pressure on abdominal aneurysm ruptures in relationship to the aneurysm's size.
The records of 223 patients with ruptured abdominal aneurysms were evaluated. All of the patients had been admitted to the department in the period 1997-2007 from the Silesia region. The atmospheric pressures on the day of the rupture and on the days both before the rupture and between the rupture events were compared. The size of the aneurysm was also considered in the analysis.
There were no statistically significant differences in pressure between the days of rupture and the remainder of the days within an analysed period. The highest frequency of the admission of patients with a ruptured aortic aneurysm was observed during periods of winter and spring, when the highest mean values of atmospheric pressure were observed; however, this observation was not statistically confirmed. A statistically non-significant trend towards the higher rupture of large aneurysms (>7 cm) was observed in the cases where the pressure increased between the day before the rupture and the day of the rupture. This trend was particularly pronounced in patients suffering from hypertension (p = 0.1).",maybe,['yes' 'no' 'maybe'],yes,yes
Is there still a need for living-related liver transplantation in children?,"To assess and compare the value of split-liver transplantation (SLT) and living-related liver transplantation (LRT).
The concept of SLT results from the development of reduced-size transplantation. A further development of SLT, the in situ split technique, is derived from LRT, which itself marks the optimized outcome in terms of postoperative graft function and survival. The combination of SLT and LRT has abolished deaths on the waiting list, thus raising the question whether living donor liver transplantation is still necessary.
Outcomes and postoperative liver function of 43 primary LRT patients were compared with those of 49 primary SLT patients (14 ex situ, 35 in situ) with known graft weight performed between April 1996 and December 2000. Survival rates were analyzed using the Kaplan-Meier method.
After a median follow-up of 35 months, actual patient survival rates were 82% in the SLT group and 88% in the LRT group. Actual graft survival rates were 76% and 81%, respectively. The incidence of primary nonfunction was 12% in the SLT group and 2.3% in the LRT group. Liver function parameters (prothrombin time, factor V, bilirubin clearance) and surgical complication rates did not differ significantly. In the SLT group, mean cold ischemic time was longer than in the LRT group. Serum values of alanine aminotransferase during the first postoperative week were significantly higher in the SLT group. In the LRT group, there were more grafts with signs of fatty degeneration than in the SLT group.",yes,['yes' 'no' 'maybe'],yes,no
CYP2D6*4 allele and breast cancer risk: is there any association?,"CYP2D6 is an important cytochrome P450 enzyme. These enzymes catalyse the oxidative biotransformation of about 25% of clinically important drugs as well as the metabolism of numerous environmental chemical carcinogens. The most frequent null allele of CYP2D6 in European populations, CYP2D6*4, has been studied here in order to elucidate whether a relationship exists between this allele and the risk of developing breast cancer in a Spanish population.
Ninety-six breast cancer Spanish patients and one hundred healthy female volunteers were genotyped for the CYP2D6*4 allele using AmpliChip CYP450 Test technology.
Homozygous CYP2D6*4 frequency was significant lower in breast cancer patients than in the control group (OR=0.22, p=0.04). The heterozygous CYP2D6*4 group also displayed lower values in patients than in controls but the difference was not significant (OR=0.698, p=0.28). Therefore, the presence of the CYP2D6*4 allele seems to decrease susceptibility to breast carcinoma in the selected population.",yes,['yes' 'no' 'maybe'],yes,yes
Can communication with terminally ill patients be taught?,"Communication with terminally ill patients is a main responsibility of physicians. However, many physicians feel insufficiently prepared for this task. Models of courses resulting in improvements of communicative skills of participants have been published mainly in the Anglo-American literature. This study describes the realization of a 2-day course model based on the experiences of the first three courses of this kind in Rhineland-Palatinate, and analyzes changes of participants' communication behavior.
After each seminary, an evaluation form concerning participants' satisfaction with the course was filled in. Furthermore, all course participants received a questionnaire at the beginning and at the end of the course, as well as 3 months afterwards. The participants were asked to assess their own sense of security in seven different communication settings on a visual analog scale, and to specify perceived changes in their communication behavior 3 months after the course.
The first three courses were attended by 31 participants. Course evaluation revealed high satisfaction scores with methods as well as with clarity and relevance of the contents. Self-assessment of participants showed a growing sense of security in different communication settings. Important increases could be demonstrated for communicating a diagnosis of cancer with good or less good prognosis, recurrence of cancer or a far progressive cancer disease without curative approach. 3 months after the course, participants described multiple changes indicating increased sensibility and professionalism in communication behavior.",yes,['yes' 'no' 'maybe'],yes,yes
Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,"Recently, there has been increasing interest in the role of ""treatment as prevention"" (TasP). Some of the questions regarding TasP strategies arise from the perceived difficulties in achieving and maintaining viral load (VL) suppression over time and the risk of emergence of viral resistance that could compromise future treatment options. This study was conducted to assess these questions in a resource-limited setting.
We performed a retrospective observational study of HIV-infected patients diagnosed in the pre-HAART era on follow-up at a private center from Buenos Aires, Argentina. Socio-demographic, clinical, and laboratory data were extracted from clinical charts. Analyses were performed to test for potential associations of selected variables with current virologic failure or use of third-line drugs.
Of 619 patients on follow-up, 82 (13.2%) were diagnosed in the pre-HAART era. At the time of our study, 79 (96.3%) patients were on HAART, with a median duration of 14 years (IQR 12-15) of therapy, and exposure to mono or dual nucleoside reverse transcriptase inhibitors regimens in 47.8% of cases. Sixty-nine patients (87.3%) had undetectable VL, 37 (46.8%) never presented virologic failure, and 19 (24.1%) experienced only one failure. Thirteen patients (16.5%) were receiving third-line ART regimens, with an average of 2.7-fold more virologic failures than those on first- or second-line regimens (p = 0.007).",yes,['yes' 'no' 'maybe'],yes,no
"Suturing of the nasal septum after septoplasty, is it an effective alternative to nasal packing?","To discuss and compare the results of suturing the nasal septum after septoplasty with the results of nasal packing.
A prospective study, which was performed at Prince Hashem Military Hospital in Zarqa, Jordan and Prince Rashed Military Hospital in Irbid, Jordan between September 2005 and August 2006 included 169 consecutive patients that underwent septoplasty. The patients were randomly divided into 2 groups. After completion of surgery, the nasal septum was sutured in the first group while nasal packing was performed in the second group.
Thirteen patients (15.3%) in the first group and 11 patients (13%) in the second group had minor oozing in the first 24 hours, 4 patients (4.8%) had bleeding after removal of the pack in the second group. Four patients (4.8%) developed septal hematoma in the second group. Two patients (2.4%) had septal perforation in the second group. One patient (1.1%) in the first group, and 5 patients (5.9%) in the second group had postoperative adhesions. Five patients (5.9%) were found to have remnant deviated nasal septum in each group. The operating time was 4 minutes longer in the first group.",yes,['yes' 'no' 'maybe'],yes,no
Subclavian steal syndrome: can the blood pressure difference between arms predict the severity of steal?,"A side-to-side difference in systolic brachial arterial blood pressure is a common finding in subclavian artery stenosis and is frequently used as a screening tool for subclavian steal syndrome (SSS). It was the goal of this retrospective study to investigate the relationship between different vertebral artery waveform types and the side-to-side difference in systolic blood pressure in patients with sonographically proven SSS.
The records of 1860 patients from the Neuroultrasound Laboratory between January 2000 and December 2000 were screened for the diagnosis of SSS in the final ultrasound report. In all patients, bilateral brachial arterial blood pressure was measured in a sitting position prior to the ultrasound examination. Vertebral artery waveforms were classified as (1) systolic deceleration, (2) alternating flow, and (3) complete reversal at rest. Blood pressure difference as calculated by normal-side blood pressure minus lesion-side blood pressure was compared with the 3 Doppler waveform types.
SSS was found in 51 of 1860 (2.7%) ultrasonography studies of 49 patients (17 men, 32 women; mean age 65.3 +/- 10.5 years). Two patients (4%) had bilateral SSS. In 3 patients (6%), SSS was related to an innominate artery stenosis. Waveform analysis showed a completely reversed flow in 16 (31%), an alternating flow in 24 (47%), and a systolic deceleration in 11 (22%) cases. Systolic blood pressure difference was significantly higher in the complete reversal and alternating groups than in the systolic deceleration group (P<.001).",yes,['yes' 'no' 'maybe'],yes,no
Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?,"Epidemiological data show significant associations of vitamin D deficiency and autoimmune diseases. Vitamin D may prevent autoimmunity by stimulating naturally occurring regulatory T cells.
To elucidate whether vitamin D supplementation increases Tregs frequency (%Tregs) within circulating CD4+ T cells.
We performed an uncontrolled vitamin D supplementation trial among 50 apparently healthy subjects including supplementation of 140,000 IU at baseline and after 4 weeks (visit 1). The final follow-up visit was performed 8 weeks after the baseline examination (visit 2). Blood was drawn at each study visit to determine 25-hydroxyvitamin D levels and %Tregs. Tregs were characterized as CD4+CD25++ T cells with expression of the transcription factor forkhead box P3 and low or absent expression of CD127.
Forty-six study participants (65% females, mean age +/- SD 31 +/- 8 years) completed the trial. 25(OH)D levels increased from 23.9 +/- 12.9 ng/ml at baseline to 45.9 +/- 14.0 ng/ml at visit 1 and 58.0 +/- 15.1 ng/ml at visit 2. %Tregs at baseline were 4.8 +/- 1.4. Compared to baseline levels we noticed a significant increase of %Tregs at study visit 1 (5.9 +/- 1.7, P<0.001) and 2 (5.6 +/- 1.6, P<0.001).",yes,['yes' 'no' 'maybe'],yes,no
Are home sampling kits for sexually transmitted infections acceptable among men who have sex with men?,"There is an urgent need to increase opportunistic screening for sexually transmitted infections (STIs) in community settings, particularly for those who are at increased risk including men who have sex with men (MSM). The aim of this qualitative study was to explore whether home sampling kits (HSK) for multiple bacterial STIs are potentially acceptable among MSM and to identify any concerns regarding their use. This study was developed as part of a formative evaluation of HSKs.
Focus groups and one-to-one semi-structured interviews with MSM were conducted. Focus group participants (n = 20) were shown a variety of self-sampling materials and asked to discuss them. Individual interviewees (n = 24) had experience of the self-sampling techniques as part of a pilot clinical study. All data were digitally recorded and transcribed verbatim. Data were analysed using a framework analysis approach.
The concept of a HSK was generally viewed as positive, with many benefits identified relating to increased access to testing, enhanced personal comfort and empowerment. Concerns about the accuracy of the test, delays in receiving the results, the possible lack of support and potential negative impact on 'others' were raised.",maybe,['yes' 'no' 'maybe'],yes,yes
Is semi-closed endarterectomy of the superficial femoral artery combined with a short venous bypass in case of insufficient venous material an acceptable alternative for limb-threatening ischemia?,"The aim of this study was to analyse the results of infragenual arterial revascularisation using semiclosed endarterectomy of the superficial femoral artery combined with a short venous bypass in patients with critical leg ischemia and insufficient venous material for a straightforward femorocrural reconstruction.
From December 1990 through December 1998 thirty patients were studied (22 males and 8 females; mean age 65 years, range 31-92 years). The mean follow-up was 26 months (range 1-96 months). Cumulative primary patency and limb salvage rates were calculated according to life-table analysis.
The cumulative primary patency was 60.3% at 1 year and 48.4% at 3 years. The limb salvage rate was 68.6% at 1 and at 3 years.",yes,['yes' 'no' 'maybe'],yes,yes
Do elderly patients benefit from surgery in addition to radiotherapy for treatment of metastatic spinal cord compression?,"Treatment of elderly cancer patients has gained importance. One question regarding the treatment of metastatic spinal cord compression (MSCC) is whether elderly patients benefit from surgery in addition to radiotherapy? In attempting to answer this question, we performed a matched-pair analysis comparing surgery followed by radiotherapy to radiotherapy alone.
Data from 42 elderly (age> 65 years) patients receiving surgery plus radiotherapy (S + RT) were matched to 84 patients (1:2) receiving radiotherapy alone (RT). Groups were matched for ten potential prognostic factors and compared regarding motor function, local control, and survival. Additional matched-pair analyses were performed for the subgroups of patients receiving direct decompressive surgery plus stabilization of involved vertebrae (DDSS, n = 81) and receiving laminectomy (LE, n = 45).
Improvement of motor function occurred in 21% after S + RT and 24% after RT (p = 0.39). The 1-year local control rates were 81% and 91% (p = 0.44), while the 1-year survival rates were 46% and 39% (p = 0.71). In the matched-pair analysis of patients receiving DDSS, improvement of motor function occurred in 22% after DDSS + RT and 24% after RT alone (p = 0.92). The 1-year local control rates were 95% and 89% (p = 0.62), and the 1-year survival rates were 54% and 43% (p = 0.30). In the matched-pair analysis of patients receiving LE, improvement of motor function occurred in 20% after LE + RT and 23% after RT alone (p = 0.06). The 1-year local control rates were 50% and 92% (p = 0.33). The 1-year survival rates were 32% and 32% (p = 0.55).",no,['yes' 'no' 'maybe'],yes,no
Does prostate morphology affect outcomes after holmium laser enucleation?,"To determine whether prostate morphology or technique used has any effect on postoperative outcomes after holmium laser enucleation of the prostate.
A retrospective review of prospectively collected data was completed for all patients undergoing a holmium laser enucleation of the prostate at our institution. Prostate morphology was classified as either ""bilobar"" or ""trilobar"" according to the cystoscopic appearance. The baseline characteristics, complications, and postoperative outcomes were collected.
A total of 304 patients with either ""bilobar"" (n = 142) or ""trilobar"" (n = 162) prostate morphology were included. The trilobar group was more likely to have longer operative times (112 vs 100 minutes, P = .04), although this difference was not significant on multivariate analysis. The postoperative outcomes were similar between the 2 groups for American Urological Association symptom score, change in American Urological Association symptom score, bother score, maximal flow rate, change in maximal flow rate, postvoid residual urine volume, and complication rate. However, the trilobar group had a significantly greater decrease in their PVR urine volume (296 vs 176 mL, P = .01), a difference that persisted on multivariate analysis. A subset analysis of the trilobar prostates revealed that performing a 2-lobe technique achieved shorter operative and enucleation times, although the difference was not significant.",yes,['yes' 'no' 'maybe'],yes,no
Should circumcision be performed in childhood?,"To evaluate prepuce development and retractibility in a group of boys. To point out the value of circumcision and prepucial forced dilation during childhood.
Prepuce development and retractibility were evaluated in 400 boys ages between 0-16 year old.
In boys under 1 year prepuce retractibility (assessed only in children who did not undergo forced dilation previously) was type I (non retractile) in 71.5% whereas type V (completely retractile) was only 5.5%. In adolescent boys type I prepuce was observed in 1 boy only, 1.6%, whereas type V was observed in 82.3%. Furthermore, it was observed that at the time of examination for the study 106 boys who had undergone forced dilation at an earlier age had balano-prepucial adhesions again, which demonstrates that prepuce adheres again to glans penis in many boys after a forced dilation is performed. Only 11 boys were considered in need for circumcision, three of them for prepucial orifice stenosis, which prevented normal micturition, causing a prepucial sac, one case due to a constrictive ring below the prepucial edge that would have prevented ulterior retractability, two cases with repetitive balanopostitis, and five cases secondary to xerosol balanitis, accounting for 2.7% of all examined boys.",no,['yes' 'no' 'maybe'],yes,no
Autoerotic asphyxiation: secret pleasure--lethal outcome?,"Voluntary asphyxiation among children, preteens, and adolescents by hanging or other means of inducing hypoxia/anoxia to enhance sexual excitement is not uncommon and can lead to unintended death. This study addresses autoerotic asphyxiation (AEA) with the intent of increasing pediatricians' knowledge of the syndrome and awareness of its typical onset among young patients. AEA is characteristically a clandestine and elusive practice. Provided with relevant information, pediatricians can identify the syndrome, demonstrate a willingness to discuss concerns about it, ameliorate distress, and possibly prevent a tragedy.
A retrospective study was undertaken of published cases both fatal and nonfatal and included personal communications, referenced citations, clinical experience, and theoretical formulations as to causation. Characteristic AEA manifestations, prevalence, age range, methods of inducing hypoxia/anoxia, and gender weighting are presented. All sources were used as a basis for additional considerations of etiology and possibilities for intervention.
AEA can be conceptualized as a personalized, ritualized, and symbolic biopsychosocial drama. It seems to be a reenactment of intense emotional feeling-states involving an identification and sadomasochistic relationship with a female figure. Inept AEA practitioners can miscalculate the peril of the situation that they have contrived and for numerous reasons lose their gamble with death.",yes,['yes' 'no' 'maybe'],yes,No
Does spontaneous remission occur in polyarteritis nodosa?,"Polyarteritis nodosa (PAN) is a systemic vasculitis involving mainly medium-sized arteries and, rarely, small-sized arteries. The diagnosis is principally based on clinical exams, biopsy of an affected organ, and/or arteriography of renal or mesenteric arteries. Once diagnosed, immunosuppressive agents, such as glucocorticoids and cyclophosphamide, are generally introduced as soon as possible. Whether spontaneous remission of PAN occurs is therefore largely unknown.
We describe the case of a 51-year-old woman who presented with a 4-day-history of intense pain in her left flank, hypertension, fever, microscopic hematuria, and acute renal failure. Contrast-enhanced renal ultrasound strongly suggested bilateral renal infarction. Medical history and an extensive workup allowed to exclude systemic embolism, recreational drug abuse, cardiac arrhythmias, and thrombophilia. A possible diagnosis of PAN was considered; however, within 2 weeks of admission, spontaneous remission of her clinical and biological symptoms occurred without the use of any immunosuppressive treatment. Finally, 3 months later, renal arteriography confirmed the diagnosis of PAN. The patient remains free of symptoms 1 year after initial presentation.",yes,['yes' 'no' 'maybe'],yes,yes
Are physicians meeting the needs of family caregivers of the frail elderly?,"To explore expressed needs, both formal and informal, of family caregivers of frail elderly. To evaluate roles of physicians.
Questionnaire survey of members of the Montreal Jewish community providing care for frail elderly family members.
Jewish community of Montreal.
Volunteer caregivers who were caring for a family member or friend 60 years or older, who had greatest responsibility for providing physical or emotional support to an elderly person, who saw themselves as caregivers, and who could speak English or French were studied. Of 118 volunteers, 32 were excluded because they withdrew for personal reasons or because they did not meet study criteria.
Demographic variables, functional status of the care receiver, use of home care services, and needs assessment to identify additional services.
An average of 75.4% respondents did not use formal support services. Just under half of caregivers were dissatisfied with the attention they received from the health care system, and more than one third expressed feelings of stress, depression, guilt, and isolation.",no,['yes' 'no' 'maybe'],yes,No
Can routinely collected ambulance data about assaults contribute to reduction in community violence?,"The 'law of spatiotemporal concentrations of events' introduced major preventative shifts in policing communities. 'Hotspots' are at the forefront of these developments yet somewhat understudied in emergency medicine. Furthermore, little is known about interagency 'data-crossover', despite some developments through the Cardiff Model. Can police-ED interagency data-sharing be used to reduce community-violence using a hotspots methodology?
12-month (2012) descriptive study and analysis of spatiotemporal clusters of police and emergency calls for service using hotspots methodology and assessing the degree of incident overlap. 3775 violent crime incidents and 775 assault incidents analysed using spatiotemporal clustering with k-means++ algorithm and Spearman's rho.
Spatiotemporal location of calls for services to the police and the ambulance service are equally highly concentrated in a small number of geographical areas, primarily within intra-agency hotspots (33% and 53%, respectively) but across agencies' hotspots as well (25% and 15%, respectively). Datasets are statistically correlated with one another at the 0.57 and 0.34 levels, with 50% overlap when adjusted for the number of hotspots. At least one in every two police hotspots does not have an ambulance hotspot overlapping with it, suggesting half of assault spatiotemporal concentrations are unknown to the police. Data further suggest that more severely injured patients, as estimated by transfer to hospital, tend to be injured in the places with the highest number of police-recorded crimes.",maybe,['yes' 'no' 'maybe'],yes,yes
Is vancomycin MIC creep a worldwide phenomenon?,"Vancomycin is the primary treatment for infections caused by methicilin-resistant Staphylococcus aureus (MRSA). The association of vancomycin treatment failures with increased vancomycin minimum inhibitory concentration (MIC) is a well-recognized problem. A number of single-centre studies have identified progressive increases in glycopeptide MICs for S. aureus strains over recent years - a phenomenon known as vancomycin MIC creep. It is unknown if this is a worldwide phenomenon or if it is localized to specific centers.
The aim of this study was to evaluate the trend of vancomycin MIC for isolates of MRSA over a 3-year period in a tertiary university hospital in Portugal. MRSA isolates from samples of patients admitted from January 2007 to December 2009 were assessed. Etest method was used to determine the respective vancomycin MIC. Only one isolate per patient was included in the final analysis.
A total of 93 MRSA isolates were studied. The vancomycin MICs were 0.75, 1, 1.5 and 2 mg/L for 1 (1.1%), 19 (20.4%), 38 (40.9%), 35 (37.6%) isolates, respectively. During the 3 year period, we observed a significant fluctuation in the rate of MRSA with a vancomycin MIC > 1 mg/L (2007: 86.2%; 2008: 93.3%; 2009: 58.8%, p = 0.002). No MRSA isolate presented a MIC > 2 mg/L.",no,['yes' 'no' 'maybe'],yes,no
